2023-11-02 12:25:47,592 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 12:25:48,187 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - flights type selected is: Economy
2023-11-02 12:25:48,235 INFO [test_flights_search] | test_flights_search.py(test_flights_search:31) | - one way is selected
2023-11-02 12:26:46,694 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 12:26:46,803 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - flights type selected is: Economy
2023-11-02 12:26:47,216 INFO [test_flights_search] | test_flights_search.py(test_flights_search:31) | - one way is selected
2023-11-02 12:26:47,412 INFO [test_flights_search] | test_flights_search.py(test_flights_search:38) | - flying from SYD
2023-11-02 12:30:48,224 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 12:30:48,351 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - flights type selected is: Economy
2023-11-02 12:30:48,759 INFO [test_flights_search] | test_flights_search.py(test_flights_search:31) | - one way is selected
2023-11-02 12:30:48,969 INFO [test_flights_search] | test_flights_search.py(test_flights_search:38) | - flying from SYD
2023-11-02 12:30:49,097 INFO [test_flights_search] | test_flights_search.py(test_flights_search:42) | - destination to DEL
2023-11-02 12:33:15,441 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 12:33:16,051 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - flights type selected is: Economy
2023-11-02 12:33:16,111 INFO [test_flights_search] | test_flights_search.py(test_flights_search:31) | - one way is selected
2023-11-02 12:33:16,333 INFO [test_flights_search] | test_flights_search.py(test_flights_search:38) | - flying from SYD
2023-11-02 12:33:16,463 INFO [test_flights_search] | test_flights_search.py(test_flights_search:42) | - destination to DEL
2023-11-02 12:37:01,234 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 12:37:01,340 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - flights type selected is: Economy
2023-11-02 12:37:01,728 INFO [test_flights_search] | test_flights_search.py(test_flights_search:31) | - one way is selected
2023-11-02 12:37:01,943 INFO [test_flights_search] | test_flights_search.py(test_flights_search:38) | - flying from SYD
2023-11-02 12:37:02,074 INFO [test_flights_search] | test_flights_search.py(test_flights_search:42) | - destination to DEL
2023-11-02 12:37:02,157 INFO [test_flights_search] | test_flights_search.py(test_flights_search:45) | - depart date is  30/10/2023
2023-11-02 12:41:55,324 INFO [test_flights_search] | test_flights_search.py(test_flights_search:25) | - Entering FLIGHTS page
2023-11-02 12:41:55,991 INFO [test_flights_search] | test_flights_search.py(test_flights_search:28) | - flights type selected is: Economy
2023-11-02 12:41:56,040 INFO [test_flights_search] | test_flights_search.py(test_flights_search:32) | - one way is selected
2023-11-02 12:41:56,281 INFO [test_flights_search] | test_flights_search.py(test_flights_search:39) | - flying from SYD
2023-11-02 12:41:56,415 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - destination to DEL
2023-11-02 12:41:56,499 INFO [test_flights_search] | test_flights_search.py(test_flights_search:46) | - depart date is  30/10/2023
